service_id,date,exception_type
cal7-mon-tue-thu-fri-62,20230825,2
cal7-mon-tue-thu-fri-62,20230828,2
cal7-mon-tue-thu-fri-62,20230829,2
cal7-mon-tue-thu-fri-62,20230831,2
cal7-mon-tue-thu-fri-62,20230901,2
cal7-mon-tue-thu-fri-62,20231023,2
cal7-mon-tue-thu-fri-62,20231024,2
cal7-mon-tue-thu-fri-62,20231026,2
cal7-mon-tue-thu-fri-62,20231027,2
cal7-mon-tue-thu-fri-62,20231030,2
cal7-mon-tue-thu-fri-62,20231031,2
cal7-mon-tue-thu-fri-62,20231102,2
cal7-mon-tue-thu-fri-62,20231103,2
cal8-wed-sat-30,20230215,2
cal8-wed-sat-30,20230218,2
cal8-wed-sat-30,20230222,2
cal8-wed-sat-30,20230225,2
cal8-wed-sat-30,20230419,2
cal8-wed-sat-30,20230422,2
cal8-wed-sat-30,20230426,2
cal8-wed-sat-30,20230429,2
cal8-wed-sat-30,20230520,2
cal8-wed-sat-30,20230712,2
cal8-wed-sat-30,20230715,2
cal8-wed-sat-30,20230719,2
cal8-wed-sat-30,20230722,2
cal8-wed-sat-30,20230726,2
cal8-wed-sat-30,20230729,2
cal8-wed-sat-30,20230802,2
cal8-wed-sat-30,20230805,2
cal8-wed-sat-30,20230809,2
cal8-wed-sat-30,20230812,2
cal8-wed-sat-30,20230816,2
cal8-wed-sat-30,20230819,2
cal8-wed-sat-30,20230823,2
cal8-wed-sat-30,20230826,2
cal8-wed-sat-30,20230830,2
cal8-wed-sat-30,20230902,2
cal8-wed-sat-30,20231025,2
cal8-wed-sat-30,20231028,2
cal8-wed-sat-30,20231101,2
cal8-wed-sat-30,20231104,2
cal8-wed-sat-30,20231111,2
cal9-mon-tue-wed-thu-fri-sat-92,20230213,2
cal9-mon-tue-wed-thu-fri-sat-92,20230214,2
cal9-mon-tue-wed-thu-fri-sat-92,20230215,2
cal9-mon-tue-wed-thu-fri-sat-92,20230216,2
cal9-mon-tue-wed-thu-fri-sat-92,20230217,2
cal9-mon-tue-wed-thu-fri-sat-92,20230218,2
cal9-mon-tue-wed-thu-fri-sat-92,20230220,2
cal9-mon-tue-wed-thu-fri-sat-92,20230221,2
cal9-mon-tue-wed-thu-fri-sat-92,20230222,2
cal9-mon-tue-wed-thu-fri-sat-92,20230223,2
cal9-mon-tue-wed-thu-fri-sat-92,20230224,2
cal9-mon-tue-wed-thu-fri-sat-92,20230225,2
cal9-mon-tue-wed-thu-fri-sat-92,20230410,2
cal9-mon-tue-wed-thu-fri-sat-92,20230417,2
cal9-mon-tue-wed-thu-fri-sat-92,20230418,2
cal9-mon-tue-wed-thu-fri-sat-92,20230419,2
cal9-mon-tue-wed-thu-fri-sat-92,20230420,2
cal9-mon-tue-wed-thu-fri-sat-92,20230421,2
cal9-mon-tue-wed-thu-fri-sat-92,20230422,2
cal9-mon-tue-wed-thu-fri-sat-92,20230424,2
cal9-mon-tue-wed-thu-fri-sat-92,20230425,2
cal9-mon-tue-wed-thu-fri-sat-92,20230426,2
cal9-mon-tue-wed-thu-fri-sat-92,20230427,2
cal9-mon-tue-wed-thu-fri-sat-92,20230428,2
cal9-mon-tue-wed-thu-fri-sat-92,20230429,2
cal9-mon-tue-wed-thu-fri-sat-92,20230501,2
cal9-mon-tue-wed-thu-fri-sat-92,20230508,2
cal9-mon-tue-wed-thu-fri-sat-92,20230518,2
cal9-mon-tue-wed-thu-fri-sat-92,20230519,2
cal9-mon-tue-wed-thu-fri-sat-92,20230520,2
cal9-mon-tue-wed-thu-fri-sat-92,20230529,2
cal9-mon-tue-wed-thu-fri-sat-92,20230710,2
cal9-mon-tue-wed-thu-fri-sat-92,20230711,2
cal9-mon-tue-wed-thu-fri-sat-92,20230712,2
cal9-mon-tue-wed-thu-fri-sat-92,20230713,2
cal9-mon-tue-wed-thu-fri-sat-92,20230714,2
cal9-mon-tue-wed-thu-fri-sat-92,20230715,2
cal9-mon-tue-wed-thu-fri-sat-92,20230717,2
cal9-mon-tue-wed-thu-fri-sat-92,20230718,2
cal9-mon-tue-wed-thu-fri-sat-92,20230719,2
cal9-mon-tue-wed-thu-fri-sat-92,20230720,2
cal9-mon-tue-wed-thu-fri-sat-92,20230721,2
cal9-mon-tue-wed-thu-fri-sat-92,20230722,2
cal9-mon-tue-wed-thu-fri-sat-92,20230724,2
cal9-mon-tue-wed-thu-fri-sat-92,20230725,2
cal9-mon-tue-wed-thu-fri-sat-92,20230726,2
cal9-mon-tue-wed-thu-fri-sat-92,20230727,2
cal9-mon-tue-wed-thu-fri-sat-92,20230728,2
cal9-mon-tue-wed-thu-fri-sat-92,20230729,2
cal9-mon-tue-wed-thu-fri-sat-92,20230731,2
cal9-mon-tue-wed-thu-fri-sat-92,20230801,2
